---------- KRW-BTC ---------
------- 3 -------
0.1 1.014250
0.2 1.005982
0.3 0.997841
0.4 0.989826
0.5 0.981931
0.6 0.974156
0.7 0.966497
0.8 0.958952
0.9 0.951518
high k
0.1 1.014250
------- 4 -------
0.1 0.940424
0.2 0.926350
0.3 0.997841
0.4 0.989826
0.5 0.981931
0.6 0.974156
0.7 0.966497
0.8 0.958952
0.9 0.951518
high k
0.3 0.997841
------- 5 -------
0.1 0.882080
0.2 0.858688
0.3 0.997841
0.4 0.989826
0.5 0.981931
0.6 0.974156
0.7 0.966497
0.8 0.958952
0.9 0.951518
high k
0.3 0.997841
------- 6 -------
0.1 0.837413
0.2 0.858688
0.3 0.997841
0.4 0.989826
0.5 0.981931
0.6 0.974156
0.7 0.966497
0.8 0.958952
0.9 0.951518
high k
0.3 0.997841
------- 7 -------
0.1 0.690290
0.2 0.703594
0.3 0.997841
0.4 0.989826
0.5 0.981931
0.6 0.974156
0.7 0.966497
0.8 0.958952
0.9 0.951518
high k
0.3 0.997841

KRW-BTC 0.9978414935307645
---------- KRW-ETH ---------
------- 3 -------
0.1 1.002558
0.2 0.994143
0.3 0.985862
0.4 0.977711
0.5 0.969688
0.6 0.961788
0.7 0.954011
0.8 0.946352
0.9 1.000000
high k
0.1 1.002558
------- 4 -------
0.1 0.994418
0.2 0.978053
0.3 0.962076
0.4 0.946476
0.5 0.931239
0.6 0.916356
0.7 0.901816
0.8 0.946352
0.9 1.000000
high k
0.9 1.000000
------- 5 -------
0.1 0.994418
0.2 0.978053
0.3 0.962076
0.4 0.946476
0.5 0.931239
0.6 0.916356
0.7 0.901816
0.8 0.946352
0.9 1.000000
high k
0.9 1.000000
------- 6 -------
0.1 0.943779
0.2 0.911997
0.3 0.962076
0.4 0.946476
0.5 0.931239
0.6 0.916356
0.7 0.901816
0.8 0.946352
0.9 1.000000
high k
0.9 1.000000
------- 7 -------
0.1 0.819039
0.2 0.784060
0.3 0.819447
0.4 0.798748
0.5 0.778723
0.6 0.759345
0.7 0.901816
0.8 0.946352
0.9 1.000000
high k
0.9 1.000000

KRW-ETH 1.0
---------- KRW-NEO ---------
------- 3 -------
0.1 1.031709
0.2 1.014083
0.3 0.997023
0.4 0.980501
0.5 0.964493
0.6 0.948974
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.1 1.031709
------- 4 -------
0.1 0.971672
0.2 0.940804
0.3 0.911340
0.4 0.883198
0.5 0.856300
0.6 0.830574
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.7 1.000000
------- 5 -------
0.1 0.851048
0.2 0.802529
0.3 0.911340
0.4 0.883198
0.5 0.856300
0.6 0.830574
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.7 1.000000
------- 6 -------
0.1 0.772756
0.2 0.802529
0.3 0.911340
0.4 0.883198
0.5 0.856300
0.6 0.830574
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.7 1.000000
------- 7 -------
0.1 0.604036
0.2 0.618548
0.3 0.692723
0.4 0.662181
0.5 0.856300
0.6 0.830574
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.7 1.000000

KRW-NEO 1.0
---------- KRW-MTL ---------
------- 3 -------
0.1 1.031775
0.2 0.997089
0.3 0.964559
0.4 0.933989
0.5 1.000000
0.6 1.000000
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.1 1.031775
------- 4 -------
0.1 1.032905
0.2 0.982426
0.3 0.935585
0.4 0.892031
0.5 0.940619
0.6 0.926572
0.7 0.912918
0.8 0.899640
0.9 0.886724
high k
0.1 1.032905
------- 5 -------
0.1 1.032905
0.2 0.982426
0.3 0.935585
0.4 0.892031
0.5 0.940619
0.6 0.926572
0.7 0.912918
0.8 0.899640
0.9 0.886724
high k
0.1 1.032905
------- 6 -------
0.1 1.032905
0.2 0.982426
0.3 0.935585
0.4 0.892031
0.5 0.940619
0.6 0.926572
0.7 0.912918
0.8 0.899640
0.9 0.886724
high k
0.1 1.032905
------- 7 -------
0.1 1.032905
0.2 0.982426
0.3 0.935585
0.4 0.892031
0.5 0.940619
0.6 0.926572
0.7 0.912918
0.8 0.899640
0.9 0.886724
high k
0.1 1.032905

KRW-MTL 1.0329045246373785
---------- KRW-LTC ---------
------- 3 -------
0.1 1.012907
0.2 1.001690
0.3 0.990708
0.4 0.979953
0.5 0.969417
0.6 0.959096
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.1 1.012907
------- 4 -------
0.1 0.950115
0.2 0.931546
0.3 0.913501
0.4 0.895962
0.5 0.878909
0.6 0.959096
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.7 1.000000
------- 5 -------
0.1 0.950115
0.2 0.931546
0.3 0.913501
0.4 0.895962
0.5 0.878909
0.6 0.959096
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.7 1.000000
------- 6 -------
0.1 0.868726
0.2 0.931546
0.3 0.913501
0.4 0.895962
0.5 0.878909
0.6 0.959096
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.7 1.000000
------- 7 -------
0.1 0.727023
0.2 0.772059
0.3 0.749847
0.4 0.728460
0.5 0.707859
0.6 0.765221
0.7 0.790460
0.8 1.000000
0.9 1.000000
high k
0.8 1.000000

KRW-LTC 1.0
---------- KRW-XRP ---------
------- 3 -------
0.1 1.201453
0.2 1.177204
0.3 1.153876
0.4 1.131419
0.5 1.109785
0.6 1.088928
0.7 1.068808
0.8 1.049387
0.9 1.030629
high k
0.1 1.201453
------- 4 -------
0.1 1.108457
0.2 1.072548
0.3 1.038336
0.4 1.005715
0.5 0.974587
0.6 0.944861
0.7 0.916454
0.8 0.889289
0.9 1.030629
high k
0.1 1.108457
------- 5 -------
0.1 1.108457
0.2 1.072548
0.3 1.038336
0.4 1.005715
0.5 0.974587
0.6 0.944861
0.7 0.916454
0.8 0.889289
0.9 1.030629
high k
0.1 1.108457
------- 6 -------
0.1 1.061067
0.2 1.072548
0.3 1.038336
0.4 1.005715
0.5 0.974587
0.6 0.944861
0.7 0.916454
0.8 0.889289
0.9 1.030629
high k
0.2 1.072548
------- 7 -------
0.1 0.801562
0.2 0.798665
0.3 1.038336
0.4 1.005715
0.5 0.974587
0.6 0.944861
0.7 0.916454
0.8 0.889289
0.9 1.030629
high k
0.3 1.038336

KRW-XRP 1.1084574083746812
---------- KRW-ETC ---------
------- 3 -------
0.1 1.018928
0.2 1.003085
0.3 0.987706
0.4 0.972769
0.5 0.958256
0.6 1.000000
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.1 1.018928
------- 4 -------
0.1 0.950041
